cancer,edin,is_tumor
COAD,0.36,True
ESCA,5.56,True
LAML,7.28,True
LUSC,0.2,True
OV,1.06,True
STAD,4.2700000000000005,True
THYM,0.84,True
BLCA,0.25,True
COAD,0.36,True
ESCA,1.23,True
HNSC,0.2,True
LAML,1.32,True
OV,1.58,True
READ,1.09,True
SKCM,0.21,True
STAD,1.3299999999999998,True
THYM,0.84,True
BLCA,0.74,True
BLCA,5.26,False
BRCA,0.18,True
CESC,2.6100000000000003,True
COAD,1.43,True
DLBC,2.08,True
ESCA,53.09,True
ESCA,36.36,False
HNSC,0.2,True
KIRC,2.06,True
KIRP,0.69,True
LAML,72.19,True
LUAD,0.95,True
LUAD,1.69,False
LUSC,0.2,True
LUSC,2.04,False
OV,12.4,True
PAAD,0.5599999999999999,True
PRAD,0.8,True
READ,2.17,True
STAD,37.330000000000005,True
STAD,25.0,False
TGCT,0.64,True
THCA,0.59,True
THCA,1.72,False
UCEC,1.28,True
COAD,0.36,True
ESCA,2.4699999999999998,True
KIRC,0.37,True
LUSC,0.2,True
STAD,1.0699999999999998,True
KIRC,0.19,True
PRAD,0.2,True
KIRC,0.19,True
KIRP,0.35000000000000003,True
KIRC,0.19,True
KIRC,0.19,True
KIRP,0.35000000000000003,True
PRAD,0.2,True
LUSC,0.2,True
PRAD,0.2,True
KIRP,0.35000000000000003,True
LUSC,0.2,True
PRAD,0.2,True
KIRP,0.35000000000000003,True
LUSC,0.2,True
