cancer,edin,is_tumor
LUAD,0.19,True
OV,0.26,True
STAD,0.27,True
BLCA,0.25,True
BRCA,0.18,True
COAD,0.7100000000000001,True
ESCA,1.23,True
LUAD,0.19,True
STAD,0.27,True
UCEC,0.18,True
ESCA,0.62,True
STAD,0.27,True
ESCA,1.23,True
STAD,0.27,True
ESCA,3.09,True
LAML,0.66,True
OV,0.26,True
STAD,1.3299999999999998,True
ESCA,1.23,True
LAML,0.66,True
STAD,0.53,True
ESCA,0.62,True
ESCA,2.4699999999999998,True
STAD,1.0699999999999998,True
UCEC,0.18,True
COAD,0.36,True
ESCA,1.23,True
LAML,0.66,True
STAD,0.53,True
BRCA,0.09,True
ESCA,0.62,True
LAML,2.65,True
LUAD,0.19,True
STAD,0.53,True
BLCA,0.25,True
BRCA,0.27,True
ESCA,1.23,True
KIRC,0.19,True
LAML,10.6,True
STAD,1.3299999999999998,True
BRCA,0.18,True
LAML,1.9900000000000002,True
STAD,1.3299999999999998,True
ESCA,0.62,True
STAD,0.53,True
BRCA,0.09,True
ESCA,2.4699999999999998,True
LAML,1.9900000000000002,True
OV,0.26,True
STAD,0.27,True
ESCA,1.23,True
STAD,0.53,True
ESCA,1.23,True
LAML,0.66,True
STAD,0.27,True
ESCA,0.62,True
LAML,4.64,True
ESCA,1.23,True
LAML,1.32,True
ESCA,1.8499999999999999,True
LAML,4.64,True
STAD,0.53,True
ESCA,1.8499999999999999,True
LAML,1.9900000000000002,True
LAML,1.32,True
LAML,0.66,True
ESCA,9.09,False
BRCA,0.09,True
BRCA,0.18,True
ESCA,9.09,False
LAML,0.66,True
PRAD,0.2,True
STAD,0.53,True
BRCA,0.09,True
COAD,0.36,True
ESCA,9.09,False
BRCA,0.18,True
STAD,0.53,True
UCEC,0.18,True
BLCA,0.25,True
BRCA,0.09,True
COAD,0.36,True
STAD,0.8,True
STAD,0.53,True
BLCA,0.25,True
STAD,0.53,True
BLCA,0.25,True
KIRC,0.19,True
STAD,0.53,True
STAD,3.1199999999999997,False
BLCA,0.25,True
BLCA,0.25,True
ESCA,0.62,True
BLCA,0.25,True
ESCA,0.62,True
BRCA,0.09,True
ESCA,1.23,True
LAML,0.66,True
PRAD,0.2,True
BRCA,0.09,True
COAD,0.36,True
ESCA,1.8499999999999999,True
LAML,4.64,True
OV,0.26,True
STAD,2.4,True
COAD,0.36,True
ESCA,0.62,True
LAML,0.66,True
COAD,0.7100000000000001,True
ESCA,1.23,True
LAML,1.32,True
STAD,0.53,True
ESCA,1.23,True
LAML,0.66,True
STAD,0.53,True
LAML,0.66,True
COAD,0.36,True
ESCA,2.4699999999999998,True
LAML,1.32,True
OV,0.26,True
STAD,0.27,True
COAD,0.36,True
LAML,1.32,True
STAD,0.27,True
ESCA,0.62,True
LAML,1.32,True
STAD,3.1199999999999997,False
BLCA,0.25,True
ESCA,1.23,True
LAML,4.64,True
OV,0.26,True
STAD,0.53,True
BRCA,0.18,True
COAD,0.36,True
ESCA,2.4699999999999998,True
LAML,7.95,True
OV,0.53,True
STAD,1.3299999999999998,True
STAD,3.1199999999999997,False
BRCA,0.18,True
ESCA,0.62,True
LAML,3.3099999999999996,True
STAD,0.53,True
THCA,0.2,True
LAML,0.66,True
BRCA,0.09,True
ESCA,1.23,True
LAML,1.9900000000000002,True
STAD,0.27,True
BRCA,0.09,True
ESCA,0.62,True
LAML,2.65,True
OV,0.26,True
STAD,1.0699999999999998,True
ESCA,0.62,True
COAD,0.36,True
LAML,3.9699999999999998,True
STAD,1.3299999999999998,True
UCEC,0.18,True
ESCA,1.23,True
LAML,0.66,True
OV,0.26,True
STAD,1.3299999999999998,True
BRCA,0.09,True
ESCA,9.26,True
GBM,0.6,True
LAML,0.66,True
OV,1.06,True
STAD,9.07,True
TGCT,0.64,True
UCEC,1.09,True
BRCA,0.09,True
ESCA,1.23,True
STAD,1.6,True
TGCT,0.64,True
CESC,0.33,True
ESCA,9.26,True
LAML,0.66,True
LGG,0.19,True
OV,1.8499999999999999,True
READ,1.09,True
STAD,9.07,True
TGCT,0.64,True
THYM,0.84,True
UCEC,0.91,True
ESCA,1.8499999999999999,True
STAD,1.87,True
THYM,0.84,True
UCEC,0.18,True
BRCA,0.09,True
CESC,0.33,True
ESCA,11.73,True
KIRC,0.19,True
LAML,0.66,True
LGG,0.19,True
OV,2.37,True
PRAD,0.4,True
READ,1.09,True
SKCM,0.21,True
STAD,9.87,True
THCA,0.2,True
THYM,0.84,True
UCEC,0.91,True
ESCA,0.62,True
STAD,0.27,True
BLCA,0.25,True
DLBC,2.08,True
ESCA,3.09,True
OV,0.26,True
PRAD,0.2,True
READ,1.09,True
STAD,2.13,True
THYM,0.84,True
UCEC,0.36,True
BRCA,0.09,True
ESCA,1.8499999999999999,True
GBM,1.1900000000000002,True
OV,0.53,True
PRAD,0.2,True
STAD,1.6,True
UCEC,0.18,True
BRCA,0.09,True
ESCA,8.64,True
ESCA,9.09,False
GBM,0.6,True
KIRC,0.19,True
LAML,0.66,True
LUAD,0.19,True
OV,1.32,True
PRAD,0.8,True
READ,3.26,True
SKCM,0.21,True
STAD,5.07,True
TGCT,0.64,True
UCEC,1.28,True
ESCA,2.4699999999999998,True
LAML,0.66,True
OV,0.26,True
PRAD,0.4,True
READ,1.09,True
STAD,1.87,True
UCEC,0.5499999999999999,True
BLCA,0.25,True
BRCA,0.88,False
ESCA,16.05,True
KIRC,0.19,True
KIRP,0.69,True
LUAD,0.19,True
LUSC,0.2,True
OV,1.32,True
PRAD,0.6,True
STAD,8.53,True
STAD,3.1199999999999997,False
THCA,0.2,True
UCEC,0.73,True
STAD,0.27,True
BRCA,0.27,True
ESCA,26.540000000000003,True
LAML,1.32,True
LIHC,0.27,True
LUAD,0.19,True
OV,1.58,True
PRAD,0.4,True
READ,1.09,True
STAD,18.67,True
STAD,3.1199999999999997,False
TGCT,1.28,True
UCEC,0.36,True
BRCA,0.18,True
ESCA,20.990000000000002,True
LIHC,0.27,True
OV,1.8499999999999999,True
PRAD,0.4,True
STAD,11.73,True
STAD,6.25,False
UCEC,0.18,True
STAD,0.53,True
BRCA,0.09,True
ESCA,19.75,True
KIRP,0.35000000000000003,True
KIRP,3.1199999999999997,False
LAML,1.32,True
LUSC,0.2,True
OV,1.8499999999999999,True
PRAD,0.2,True
STAD,12.0,True
STAD,3.1199999999999997,False
THYM,0.84,True
UCEC,0.18,True
BRCA,0.09,True
CESC,0.33,True
ESCA,19.139999999999997,True
OV,1.8499999999999999,True
PRAD,0.2,True
STAD,12.27,True
TGCT,0.64,True
ESCA,30.25,True
KIRP,0.35000000000000003,True
KIRP,3.1199999999999997,False
OV,3.6900000000000004,True
PRAD,0.2,True
STAD,21.07,True
STAD,9.379999999999999,False
UCEC,0.18,True
STAD,0.27,True
OV,0.26,True
STAD,0.53,True
DLBC,2.08,True
ESCA,16.669999999999998,True
OV,1.32,True
STAD,12.0,True
UCEC,0.18,True
OV,0.26,True
OV,0.53,True
BLCA,0.98,True
BRCA,0.36,True
CESC,0.98,True
DLBC,2.08,True
ESCA,41.36,True
ESCA,27.27,False
LAML,1.9900000000000002,True
LGG,0.19,True
LUAD,0.38,True
LUSC,0.2,True
OV,9.5,True
PRAD,1.7999999999999998,True
PRAD,1.92,False
READ,2.17,True
SARC,0.38,True
SKCM,0.21,True
STAD,29.330000000000002,True
STAD,12.5,False
TGCT,1.28,True
THCA,0.59,True
THYM,0.84,True
UCEC,1.09,True
UCS,1.79,True
BLCA,0.74,True
BRCA,0.36,True
CESC,0.33,True
DLBC,2.08,True
ESCA,40.12,True
ESCA,27.27,False
LAML,1.9900000000000002,True
LGG,0.19,True
LUAD,0.38,True
LUSC,0.2,True
OV,8.97,True
PRAD,1.6,True
PRAD,1.92,False
READ,1.09,True
SARC,0.38,True
SKCM,0.42,True
STAD,27.73,True
STAD,3.1199999999999997,False
TGCT,1.28,True
THCA,0.38999999999999996,True
THYM,1.68,True
UCEC,1.09,True
UCS,1.79,True
OV,0.26,True
ESCA,2.4699999999999998,True
LUAD,0.19,True
LUSC,0.2,True
OV,0.53,True
PRAD,0.6,True
STAD,2.13,True
THCA,0.2,True
OV,0.26,True
STAD,0.27,True
BLCA,0.49,True
CESC,0.33,True
ESCA,4.9399999999999995,True
KIRC,0.19,True
KIRP,0.35000000000000003,True
OV,3.4299999999999997,True
PRAD,0.4,True
PRAD,1.92,False
STAD,3.2,True
UCEC,0.73,True
STAD,0.27,True
BLCA,0.49,True
BRCA,0.18,True
CESC,0.33,True
ESCA,6.79,True
KIRP,0.35000000000000003,True
LAML,0.66,True
OV,5.28,True
PRAD,0.4,True
PRAD,1.92,False
STAD,6.13,True
STAD,3.1199999999999997,False
UCEC,0.36,True
BLCA,0.25,True
BRCA,0.18,True
CESC,0.33,True
DLBC,2.08,True
ESCA,16.669999999999998,True
LAML,1.9900000000000002,True
LGG,0.19,True
OV,11.08,True
PRAD,1.0,True
PRAD,1.92,False
READ,2.17,True
SARC,0.38,True
STAD,11.200000000000001,True
STAD,3.1199999999999997,False
TGCT,0.64,True
THYM,1.68,True
UCEC,0.73,True
ESCA,2.4699999999999998,True
OV,2.37,True
PRAD,1.92,False
STAD,1.6,True
UCEC,0.18,True
BRCA,0.09,True
ESCA,3.6999999999999997,True
OV,3.17,True
PRAD,0.2,True
PRAD,1.92,False
STAD,2.67,True
THYM,0.84,True
ESCA,19.139999999999997,True
ESCA,9.09,False
OV,8.18,True
STAD,10.13,True
UCEC,0.5499999999999999,True
ESCA,21.6,True
ESCA,9.09,False
OV,10.290000000000001,True
STAD,16.0,True
STAD,3.1199999999999997,False
UCEC,0.36,True
BLCA,0.49,True
BLCA,5.26,False
BRCA,0.27,True
CESC,0.33,True
COAD,0.36,True
ESCA,26.540000000000003,True
ESCA,9.09,False
KIRP,0.35000000000000003,True
LAML,1.9900000000000002,True
LIHC,0.27,True
LUAD,0.19,True
OV,12.139999999999999,True
PRAD,0.4,True
PRAD,1.92,False
SKCM,0.21,True
STAD,16.53,True
THCA,0.2,True
THYM,1.68,True
UCEC,1.28,True
UCS,1.79,True
BLCA,0.25,True
CESC,0.33,True
ESCA,10.489999999999998,True
KIRP,0.35000000000000003,True
LAML,2.65,True
LUAD,0.19,True
OV,5.54,True
PRAD,0.4,True
STAD,4.0,True
UCEC,0.36,True
BLCA,0.49,True
BRCA,0.09,True
CESC,0.33,True
ESCA,19.75,True
LAML,1.32,True
LGG,0.19,True
LIHC,0.27,True
LUAD,0.19,True
OV,8.709999999999999,True
PRAD,0.8,True
PRAD,1.92,False
SKCM,0.21,True
STAD,12.53,True
TGCT,0.64,True
THYM,1.68,True
UCEC,0.5499999999999999,True
UCS,1.79,True
ESCA,4.9399999999999995,True
LAML,1.32,True
OV,2.37,True
PRAD,1.92,False
STAD,2.4,True
UCEC,0.18,True
ESCA,4.32,True
ESCA,9.09,False
OV,2.11,True
PRAD,1.92,False
STAD,3.47,True
THCA,0.2,True
UCEC,0.18,True
ESCA,1.8499999999999999,True
OV,0.26,True
STAD,0.8,True
ESCA,6.17,True
OV,2.37,True
STAD,1.87,True
UCEC,0.18,True
ESCA,7.41,True
OV,3.4299999999999997,True
STAD,6.4,True
UCEC,0.18,True
ESCA,3.09,True
OV,0.53,True
STAD,1.0699999999999998,True
UCEC,2.86,False
ESCA,1.8499999999999999,True
OV,0.26,True
STAD,0.53,True
ESCA,1.8499999999999999,True
OV,0.53,True
STAD,1.6,True
CESC,0.33,True
ESCA,8.64,True
ESCA,9.09,False
KIRC,0.19,True
LAML,0.66,True
OV,3.9600000000000004,True
STAD,5.33,True
STAD,3.1199999999999997,False
THYM,0.84,True
UCEC,0.73,True
ESCA,1.8499999999999999,True
OV,0.26,True
PRAD,0.2,True
STAD,1.3299999999999998,True
UCEC,0.18,True
BLCA,0.98,True
BRCA,0.09,True
CESC,0.33,True
ESCA,14.2,True
ESCA,9.09,False
KIRC,0.19,True
LAML,1.32,True
OV,5.54,True
PRAD,0.2,True
READ,1.09,True
STAD,10.4,True
THYM,0.84,True
UCEC,0.91,True
BLCA,0.25,True
ESCA,3.09,True
OV,1.06,True
STAD,2.13,True
ESCA,0.62,True
STAD,0.8,True
ESCA,1.23,True
OV,0.26,True
STAD,0.27,True
STAD,3.1199999999999997,False
ESCA,8.64,True
ESCA,9.09,False
OV,2.9000000000000004,True
STAD,3.47,True
STAD,3.1199999999999997,False
UCEC,0.18,True
BRCA,0.09,True
ESCA,10.489999999999998,True
ESCA,9.09,False
OV,4.22,True
PRAD,0.2,True
PRAD,1.92,False
STAD,6.67,True
STAD,3.1199999999999997,False
THCA,0.2,True
UCEC,0.73,True
ESCA,4.32,True
OV,1.06,True
STAD,1.87,True
ESCA,4.32,True
OV,1.32,True
STAD,1.87,True
THYM,0.84,True
ESCA,3.09,True
KIRC,0.19,True
OV,1.58,True
STAD,2.93,True
THYM,1.68,True
UCEC,0.18,True
READ,1.09,True
STAD,0.27,True
ESCA,1.23,True
READ,1.09,True
STAD,0.8,True
ESCA,0.62,True
LAML,0.66,True
READ,1.09,True
STAD,0.8,True
ESCA,0.62,True
STAD,0.8,True
UCEC,0.18,True
BRCA,0.09,True
CESC,0.33,True
OV,0.26,True
READ,1.09,True
STAD,3.2,True
UCEC,0.18,True
OV,0.26,True
READ,1.09,True
STAD,2.67,True
UCEC,0.36,True
READ,1.09,True
STAD,1.0699999999999998,True
STAD,0.27,True
ESCA,0.62,True
STAD,1.6,True
ESCA,0.62,True
LAML,0.66,True
OV,0.26,True
STAD,1.6,True
ESCA,0.62,True
STAD,1.3299999999999998,True
LAML,0.66,True
STAD,0.53,True
STAD,0.27,True
BRCA,0.09,True
LAML,1.32,True
STAD,0.27,True
LAML,0.66,True
STAD,3.1199999999999997,False
LAML,0.66,True
STAD,0.27,True
STAD,3.1199999999999997,False
COAD,0.36,True
ESCA,0.62,True
ESCA,9.09,False
LAML,1.32,True
STAD,0.53,True
COAD,0.36,True
LAML,0.66,True
COAD,0.36,True
STAD,0.53,True
STAD,0.53,True
LUSC,2.04,False
OV,0.26,True
ESCA,0.62,True
OV,0.26,True
UCEC,0.18,True
ESCA,0.62,True
OV,0.26,True
READ,1.09,True
STAD,1.0699999999999998,True
UCEC,0.18,True
BRCA,0.09,True
ESCA,1.23,True
PRAD,0.2,True
PRAD,1.92,False
STAD,0.27,True
UCEC,0.18,True
STAD,0.27,True
STAD,0.27,True
STAD,0.27,True
BRCA,0.09,True
STAD,0.53,True
COAD,0.36,True
STAD,0.27,True
BLCA,0.25,True
ESCA,0.62,True
BRCA,0.09,True
COAD,0.36,True
ESCA,0.62,True
ESCA,0.62,True
ESCA,0.62,True
STAD,0.27,True
UCEC,0.18,True
STAD,0.27,True
UCEC,0.18,True
BRCA,0.09,True
STAD,0.27,True
BLCA,0.25,True
BRCA,0.18,True
COAD,0.36,True
LAML,0.66,True
STAD,0.53,True
ESCA,0.62,True
BRCA,0.09,True
ESCA,0.62,True
STAD,0.53,True
BLCA,0.25,True
BRCA,0.09,True
ESCA,0.62,True
STAD,0.27,True
COAD,0.36,True
ESCA,0.62,True
STAD,0.27,True
COAD,0.36,True
ESCA,0.62,True
STAD,0.27,True
BLCA,0.25,True
BLCA,0.25,True
OV,1.06,True
STAD,0.8,True
OV,0.53,True
STAD,1.6,True
ESCA,1.23,True
OV,0.53,True
STAD,0.8,True
OV,0.26,True
STAD,0.53,True
COAD,0.36,True
COAD,0.36,True
ESCA,0.62,True
STAD,1.0699999999999998,True
STAD,1.3299999999999998,True
ESCA,0.62,True
STAD,0.8,True
COAD,0.36,True
STAD,0.27,True
BRCA,0.09,True
ESCA,0.62,True
STAD,0.27,True
ESCA,1.8499999999999999,True
STAD,0.8,True
STAD,0.27,True
ESCA,6.79,True
LAML,0.66,True
OV,0.79,True
STAD,10.13,True
STAD,3.1199999999999997,False
ESCA,3.09,True
OV,0.53,True
STAD,3.73,True
ESCA,1.23,True
STAD,1.3299999999999998,True
STAD,0.27,True
ESCA,0.62,True
STAD,0.27,True
STAD,0.27,True
STAD,0.27,True
ESCA,6.79,True
OV,0.53,True
STAD,3.73,True
ESCA,1.8499999999999999,True
OV,0.53,True
STAD,3.1199999999999997,False
ESCA,4.32,True
STAD,4.2700000000000005,True
STAD,3.1199999999999997,False
STAD,1.0699999999999998,True
ESCA,3.09,True
STAD,3.73,True
ESCA,4.9399999999999995,True
LAML,0.66,True
STAD,3.2,True
ESCA,1.8499999999999999,True
STAD,1.3299999999999998,True
STAD,0.27,True
BRCA,0.09,True
