cancer,edin,is_tumor
BRCA,0.09,True
ESCA,1.23,True
KIRC,0.19,True
LAML,0.66,True
STAD,1.0699999999999998,True
ESCA,3.09,True
OV,0.26,True
STAD,1.6,True
ESCA,0.62,True
STAD,0.53,True
BRCA,0.09,True
ESCA,6.17,True
OV,0.53,True
STAD,1.87,True
STAD,3.1199999999999997,False
TGCT,1.28,True
ESCA,4.9399999999999995,True
LAML,0.66,True
LUSC,0.2,True
OV,0.26,True
STAD,2.13,True
ESCA,5.56,True
STAD,0.8,True
BRCA,0.18,True
ESCA,7.41,True
ESCA,9.09,False
OV,0.79,True
STAD,3.2,True
TGCT,0.64,True
ESCA,7.41,True
LAML,0.66,True
LIHC,0.27,True
OV,0.79,True
STAD,2.67,True
LGG,0.19,True
LGG,0.19,True
LGG,0.19,True
LGG,0.19,True
LGG,0.19,True
LGG,0.19,True
BRCA,0.27,True
HNSC,0.2,True
LGG,0.38,True
LUSC,0.2,True
STAD,0.27,True
UCEC,0.18,True
BRCA,0.09,True
UCEC,0.18,True
STAD,0.27,True
ESCA,0.62,True
STAD,0.27,True
BLCA,0.25,True
BRCA,0.36,True
LUAD,0.5700000000000001,True
STAD,1.6,True
UCEC,0.36,True
BRCA,0.18,True
STAD,0.27,True
BRCA,0.18,True
STAD,0.53,True
BLCA,0.25,True
STAD,0.27,True
BRCA,0.09,True
BRCA,0.09,True
BRCA,0.09,True
ESCA,0.62,True
STAD,0.27,True
COAD,0.36,True
BRCA,0.18,True
OV,0.26,True
CESC,0.33,True
ESCA,1.8499999999999999,True
OV,0.79,True
STAD,1.3299999999999998,True
UCEC,0.18,True
ESCA,1.8499999999999999,True
OV,0.26,True
OV,0.53,True
ESCA,0.62,True
OV,0.26,True
OV,0.26,True
OV,0.79,True
OV,0.26,True
OV,0.26,True
ESCA,0.62,True
STAD,0.53,True
ESCA,0.62,True
OV,0.53,True
STAD,0.8,True
ESCA,0.62,True
ESCA,9.09,False
LAML,0.66,True
STAD,0.27,True
ESCA,0.62,True
BRCA,0.09,True
LAML,0.66,True
ESCA,1.23,True
LAML,0.66,True
BRCA,0.09,True
ESCA,1.23,True
LAML,1.32,True
STAD,0.53,True
LUAD,0.19,True
ESCA,0.62,True
STAD,0.27,True
ESCA,0.62,True
LUSC,0.2,True
STAD,0.27,True
TGCT,0.64,True
ESCA,2.4699999999999998,True
LAML,1.32,True
OV,0.53,True
STAD,0.53,True
BLCA,0.25,True
COAD,0.36,True
LUAD,0.19,True
OV,0.53,True
READ,1.09,True
STAD,3.1199999999999997,False
BRCA,0.09,True
STAD,0.27,True
ESCA,1.23,True
LAML,3.3099999999999996,True
OV,1.06,True
STAD,1.0699999999999998,True
BRCA,0.44999999999999996,True
COAD,0.36,True
ESCA,10.489999999999998,True
LAML,6.619999999999999,True
LUAD,0.19,True
LUSC,0.4,True
OV,2.64,True
STAD,5.6000000000000005,True
STAD,6.25,False
ESCA,0.62,True
BRCA,0.09,True
ESCA,0.62,True
LUSC,0.8,True
OV,0.26,True
STAD,1.0699999999999998,True
ESCA,0.62,True
LAML,0.66,True
LUSC,0.2,True
OV,0.26,True
STAD,0.8,True
BLCA,0.25,True
BRCA,0.09,True
ESCA,1.8499999999999999,True
LUSC,0.4,True
OV,0.79,True
STAD,0.53,True
TGCT,0.64,True
BLCA,0.25,True
COAD,0.36,True
ESCA,0.62,True
LAML,0.66,True
LUSC,0.2,True
OV,0.53,True
STAD,0.53,True
BLCA,0.98,True
BRCA,0.27,True
CESC,0.33,True
COAD,1.0699999999999998,True
ESCA,10.489999999999998,True
HNSC,0.2,True
LAML,1.32,True
LUAD,0.5700000000000001,True
LUSC,1.7999999999999998,True
OV,3.4299999999999997,True
STAD,3.73,True
TGCT,1.92,True
BLCA,0.49,True
BRCA,0.18,True
COAD,0.36,True
ESCA,4.32,True
LAML,2.65,True
OV,1.32,True
STAD,1.3299999999999998,True
OV,0.53,True
OV,0.26,True
BLCA,0.25,True
LUSC,0.4,True
OV,0.26,True
STAD,0.53,True
ESCA,0.62,True
OV,0.53,True
STAD,0.27,True
BLCA,0.25,True
ESCA,1.23,True
ESCA,9.09,False
LUSC,0.2,True
OV,0.26,True
STAD,0.8,True
ESCA,1.23,True
OV,0.26,True
LAML,0.66,True
BLCA,0.49,True
BRCA,0.09,True
ESCA,1.23,True
LUSC,0.6,True
OV,0.26,True
READ,1.09,True
STAD,0.53,True
CESC,0.33,True
ESCA,1.8499999999999999,True
LUSC,0.4,True
PRAD,0.2,True
STAD,0.53,True
LAML,1.32,True
OV,0.26,True
LAML,0.66,True
ESCA,0.62,True
LAML,3.9699999999999998,True
STAD,0.27,True
LAML,1.32,True
LAML,0.66,True
STAD,0.53,True
LAML,3.3099999999999996,True
LAML,0.66,True
STAD,0.53,True
BRCA,0.27,True
ESCA,0.62,True
KIRC,0.19,True
LAML,5.3,True
STAD,1.0699999999999998,True
ESCA,0.62,True
KIRC,0.19,True
LAML,0.66,True
BRCA,0.36,True
COAD,0.36,True
ESCA,1.8499999999999999,True
LAML,6.619999999999999,True
OV,0.53,True
PRAD,0.2,True
STAD,1.87,True
STAD,3.1199999999999997,False
KIRC,0.19,True
LAML,1.9900000000000002,True
STAD,0.27,True
BRCA,0.09,True
STAD,0.27,True
BRCA,0.18,True
ESCA,1.23,True
LAML,3.3099999999999996,True
STAD,1.6,True
LAML,0.66,True
ESCA,0.62,True
STAD,0.27,True
STAD,0.53,True
BRCA,0.18,True
COAD,0.36,True
ESCA,1.23,True
LAML,4.64,True
LUAD,0.19,True
OV,0.26,True
STAD,1.3299999999999998,True
BRCA,0.27,True
COAD,0.36,True
ESCA,1.8499999999999999,True
LAML,3.3099999999999996,True
LUAD,0.38,True
STAD,0.8,True
COAD,0.36,True
ESCA,0.62,True
LAML,0.66,True
LAML,1.32,True
LUAD,0.19,True
UCEC,0.18,True
BRCA,0.09,True
ESCA,0.62,True
LAML,0.66,True
LAML,0.66,True
STAD,3.1199999999999997,False
STAD,3.1199999999999997,False
STAD,3.1199999999999997,False
STAD,3.1199999999999997,False
BRCA,0.09,True
BRCA,0.27,True
COAD,1.0699999999999998,True
LAML,1.32,True
LUAD,0.38,True
BRCA,0.18,True
COAD,1.79,True
KIRC,0.19,True
LAML,1.9900000000000002,True
LUAD,0.76,True
UCEC,0.18,True
BRCA,0.27,True
COAD,2.1399999999999997,True
LAML,0.66,True
LUAD,0.19,True
LAML,0.66,True
BRCA,0.18,True
COAD,0.7100000000000001,True
KIRC,0.19,True
BRCA,0.09,True
BLCA,0.25,True
PRAD,0.2,True
BRCA,0.27,True
COAD,0.36,True
LAML,1.32,True
BRCA,0.27,True
COAD,0.36,True
LAML,0.66,True
PRAD,0.2,True
KIRC,0.19,True
STAD,0.27,True
LAML,0.66,True
COAD,0.36,True
STAD,0.27,True
BRCA,0.09,True
COAD,0.36,True
STAD,0.53,True
BRCA,0.09,True
COAD,0.36,True
LAML,0.66,True
STAD,0.27,True
BRCA,0.09,True
STAD,0.27,True
COAD,0.36,True
STAD,0.27,True
BRCA,0.09,True
STAD,1.0699999999999998,True
LAML,0.66,True
STAD,0.53,True
STAD,0.27,True
LAML,0.66,True
STAD,0.53,True
STAD,0.27,True
STAD,0.27,True
BRCA,0.18,True
ESCA,1.23,True
