cancer,edin,is_tumor
ACC,1.27,True
BLCA,0.49,True
BLCA,5.26,False
BRCA,1.18,True
BRCA,0.88,False
CESC,0.65,True
COAD,0.7100000000000001,True
ESCA,4.32,True
GBM,0.6,True
HNSC,1.4000000000000001,True
KIRC,1.5,True
KIRP,0.35000000000000003,True
LAML,0.66,True
LIHC,1.0699999999999998,True
LUAD,1.71,True
LUSC,1.2,True
MESO,1.16,True
OV,0.53,True
PAAD,0.5599999999999999,True
PRAD,0.4,True
READ,2.17,True
SARC,0.38,True
SKCM,0.42,True
STAD,4.0,True
THCA,0.59,True
ACC,65.82000000000001,True
BLCA,39.22,True
BLCA,36.84,False
BRCA,75.88000000000001,True
BRCA,77.88000000000001,False
CESC,48.04,True
CHOL,69.44,True
CHOL,100.0,False
COAD,57.49999999999999,True
COAD,58.540000000000006,False
DLBC,16.669999999999998,True
ESCA,93.83,True
ESCA,90.91,False
GBM,69.05,True
GBM,inf,False
HNSC,35.0,True
HNSC,25.0,False
KICH,84.61999999999999,True
KICH,95.83,False
KIRC,76.64,True
KIRC,95.83,False
KIRP,69.89999999999999,True
KIRP,96.88,False
LAML,7.95,True
LGG,76.18,True
LIHC,67.91,True
LIHC,64.0,False
LUAD,57.69,True
LUAD,38.98,False
LUSC,55.510000000000005,True
LUSC,63.27,False
MESO,46.51,True
OV,81.27,True
PAAD,37.08,True
PCPG,59.56,True
PCPG,100.0,False
PRAD,80.60000000000001,True
PRAD,88.46000000000001,False
READ,63.04,True
READ,70.0,False
SARC,50.19,True
SARC,50.0,False
SKCM,57.32000000000001,True
STAD,71.2,True
STAD,59.38,False
TGCT,26.279999999999998,True
THCA,79.96,True
THCA,79.31,False
THYM,40.339999999999996,True
THYM,100.0,False
UCEC,20.26,True
UCEC,51.43,False
UCS,41.07,True
UVM,48.75,True
BLCA,1.47,True
BRCA,3.08,True
BRCA,0.88,False
CESC,0.33,True
COAD,0.36,True
ESCA,35.8,True
ESCA,27.27,False
GBM,0.6,True
HNSC,1.4000000000000001,True
KIRC,0.75,True
KIRC,2.78,False
LAML,1.9900000000000002,True
LIHC,0.27,True
LUAD,1.71,True
LUSC,2.81,True
OV,39.839999999999996,True
PAAD,0.5599999999999999,True
PRAD,0.6,True
SARC,1.1400000000000001,True
SKCM,0.64,True
STAD,22.93,True
STAD,6.25,False
TGCT,1.28,True
THCA,0.79,True
THYM,0.84,True
UCEC,1.82,True
UCS,1.79,True
